ID,gedcom,sourceID,callnum,type,title,author,publisher,other,shorttitle,comments,actualtext,repoID,changedate,changedby
4563,Earlylds,S2509,,,"Book - Database of the Mormon Battalion","Larson, Carl V.",,,,,,,"0000-00-00 00:00:00",Larry
4564,Earlylds,S2510,,,"Article - ""Snow Family. 'Farr Ancestry'""","Stone, Merlin J., b. 1853","From ""The Commonwealth."", 1898",,,,,REPO18,"0000-00-00 00:00:00",Larry
4707,Earlylds,S2653,,,"Book - The Women of Mormondom","Tulidge, Edward Wheelock","Salt Lake City, Utah, 1877; reprinted 1957",,,,,REPO2,"0000-00-00 00:00:00",Larry
4740,Earlylds,S2686,,,"LDS - Kirtland Elders' Record","Cook, Lyndon W. and Milton V. Backman, Jr., Editors","Grandin Books, Provo, Utah, 1985",,,,,REPO3,"0000-00-00 00:00:00",Larry
4984,Earlylds,S2930,"Filmed 1968, 1973 on 248 microfilm reels",,"LDS - Journal History of the Church, 1830-1973","Church Historian's Office","LDS Church Family History Department",,,,,REPO4,"0000-00-00 00:00:00",Larry
4993,Earlylds,S2939,,,"Database - Missouri, Far West Burial Ground","Riggs, Michael and Leslie Brooks","Far West Cultural Center, Far West, Missouri",,,,,REPO19,"0000-00-00 00:00:00",Larry
4994,Earlylds,S2940,,,"Book - Reminiscences of Latter-day Saints","Littlefield, Lyman Omer - Autobiography","Utah Journal Co., Logan, Utah, 1888",,,,,REPO3,"0000-00-00 00:00:00",Larry
5106,Earlylds,S3052,"FHL #1033632 Item 9",,"Book - Diary [of] patriarch John Boice, body guard [sic] of the Prophet Joseph Smith, and Mary Ann Barzee, pioneer, wife,","Pickens, Gwendolyn, editor","[Huntington Beach? California] : Gwendolyn, c1979",,,,,REPO4,"0000-00-00 00:00:00",Larry
5107,Earlylds,S3053,"929.273 B635",,"Book - Sons of God","Pickens, Gwendolyn","[Stanton, California] : G. Pickens, c1984",,,,,REPO4,"0000-00-00 00:00:00",Larry
5451,Earlylds,S3397,"MSS SC 1880",,"Manuscript - Diary of Lorenzo Brown - 1875-1877","Lorenzo John Brown 1854-1935",,,,,,REPO2,"0000-00-00 00:00:00",Larry
5452,Earlylds,S3398,"MSS 497",,"Manuscript - Diary and autobiography, 1856-1899 Brown, Lorenzo, 1823-1901","Lorenzo Brown 1823-1901",,,,,,REPO2,"0000-00-00 00:00:00",Larry
5513,Earlylds,S3459,,,"LDS - Nauvoo Civil Marriages",Emerson,,,,,,REPO7,"0000-00-00 00:00:00",Larry
5548,Earlylds,S3494,,,"Newspaper - Salt Lake (Utah) Deseret News",,"Deseret News Company",,,,,REPO4,"0000-00-00 00:00:00",Larry
5549,Earlylds,S3495,,,"Article - ""Teenage Witness to the Martyrdom""","Golden R. Buchenan","Ensign, June 1974, Church of Jesus Christ of Latter-day Saints",,,,,REPO15,"0000-00-00 00:00:00",Larry
5836,Earlylds,S3782,,,"Book - The Ancestors of Gideon Burdick","Bennett, Archibald F.","Salt Lake City, Utah : Filmed by the Genealogical Society of Utah, 2003",,,,,REPO4,"0000-00-00 00:00:00",Larry
