ID,gedcom,place,longitude,latitude,zoom,placelevel,temple,geoignore,notes
109420,Earlylds,"Bedford, Cuyahoga, Ohio, USA",NULL,NULL,NULL,NULL,0,0,NULL
109419,Earlylds,"Williamsburg, Hampshire, Massachusetts, USA",NULL,NULL,NULL,NULL,0,0,NULL
109418,Earlylds,"Madison, Madison, Nebraska, USA",NULL,NULL,NULL,NULL,0,0,NULL
109417,Earlylds,"Everest, Brown, Kansas, USA",NULL,NULL,NULL,NULL,0,0,NULL
109416,Earlylds,"Knockfola, Donegal, Ireland",NULL,NULL,NULL,NULL,0,0,NULL
109415,Earlylds,", Queens (Laoighis), Ireland",NULL,NULL,NULL,NULL,0,0,NULL
109414,Earlylds,"Great Corby, Cumberland, England",NULL,NULL,NULL,NULL,0,0,NULL
109413,Earlylds,"Matilda, Stormont Dundas And Glengarry, Ontario, Canada",NULL,NULL,NULL,NULL,0,0,NULL
109412,Earlylds,"Chelsea, Suffolk, Massachusetts, USA",NULL,NULL,NULL,NULL,0,0,NULL
109411,Earlylds,"Thornhill, Yorkshire West Riding, England",NULL,NULL,NULL,NULL,0,0,NULL
109410,Earlylds,"Fort Leavenworth, Leavenworth, Kansas, USA",NULL,NULL,NULL,NULL,0,0,NULL
109409,Earlylds,"Panther Creek, Hamblen, Tennessee, USA",NULL,NULL,NULL,NULL,0,0,NULL
109408,Earlylds,"South Saint George, Knox, Maine, USA",NULL,NULL,NULL,NULL,0,0,NULL
109407,Earlylds,"Edgefield, Edgefield, South Carolina, USA",NULL,NULL,NULL,NULL,0,0,NULL
109406,Earlylds,", Baraga, Michigan, USA",NULL,NULL,NULL,NULL,0,0,NULL
109405,Earlylds,", Bibb, Alabama, USA",NULL,NULL,NULL,NULL,0,0,NULL
109404,Earlylds,"Sandwich, Barnstable, Massachusetts, USA",NULL,NULL,NULL,NULL,0,0,NULL
109403,Earlylds,"Coolville, Athens, Ohio, USA",NULL,NULL,NULL,NULL,0,0,NULL
109402,Earlylds,"Fond du Lac, Fond du Lac, Wisconsin, USA",NULL,NULL,NULL,NULL,0,0,NULL
109401,Earlylds,"Lodi, Athens, Ohio, USA",NULL,NULL,NULL,NULL,0,0,NULL
109400,Earlylds,"Denmark, Oxford, Maine, USA",NULL,NULL,NULL,NULL,0,0,NULL
109399,Earlylds,"Claiborne, Jasper, Mississippi, USA",NULL,NULL,NULL,NULL,0,0,NULL
109398,Earlylds,", Hamilton, New York, USA",NULL,NULL,NULL,NULL,0,0,NULL
109397,Earlylds,"Washington, Berkshire, Massachusetts, USA",NULL,NULL,NULL,NULL,0,0,NULL
109396,Earlylds,"Hinsburg, Orleans, New York, USA",NULL,NULL,NULL,NULL,0,0,NULL
109395,Earlylds,"Cagliari, Sardinia, Italy",NULL,NULL,NULL,NULL,0,0,NULL
109394,Earlylds,", Bedfordshire, England",NULL,NULL,NULL,NULL,0,0,NULL
109393,Earlylds,"Camp Point, Adams, Illinois, USA",NULL,NULL,NULL,NULL,0,0,NULL
109392,Earlylds,"Newark, Kendall, Illinois, USA",NULL,NULL,NULL,NULL,0,0,NULL
109391,Earlylds,"South Windsor, Kennebec, Maine, USA",NULL,NULL,NULL,NULL,0,0,NULL
109390,Earlylds,"Wilton, Hillsborough, New Hampshire, USA",NULL,NULL,NULL,NULL,0,0,NULL
109389,Earlylds,"Hartsgreen, Shropshire, England",NULL,NULL,NULL,NULL,0,0,NULL
109388,Earlylds,"(prob), , , Massachusetts, USA",NULL,NULL,NULL,NULL,0,0,NULL
109387,Earlylds,"Washington, Clark, Indiana, USA",NULL,NULL,NULL,NULL,0,0,NULL
109386,Earlylds,", Jackson, Georgia, USA",NULL,NULL,NULL,NULL,0,0,NULL
109385,Earlylds,"Kongsberg, Buskerud, Norway",NULL,NULL,NULL,NULL,0,0,NULL
109384,Earlylds,"Pekin, Tazewell, Illinois, USA",NULL,NULL,NULL,NULL,0,0,NULL
109383,Earlylds,"Wessington, Derbyshire, England",NULL,NULL,NULL,NULL,0,0,NULL
109382,Earlylds,"Burton, Madison, Idaho, USA",NULL,NULL,NULL,NULL,0,0,NULL
109381,Earlylds,"Olean, Cattaraugus, New York, USA",NULL,NULL,NULL,NULL,0,0,NULL
109380,Earlylds,"Millerstown, Perry, Pennsylvania, USA",NULL,NULL,NULL,NULL,0,0,NULL
109379,Earlylds,"Collins, Erie, New York, USA",NULL,NULL,NULL,NULL,0,0,NULL
109378,Earlylds,"Clinton, Dutchess, New York, USA",NULL,NULL,NULL,NULL,0,0,NULL
109377,Earlylds,"Clinton, Oneida, New York, USA",NULL,NULL,NULL,NULL,0,0,NULL
109376,Earlylds,"Newtown Limavady, Londonderry, Northern Ireland",NULL,NULL,NULL,NULL,0,0,NULL
109375,Earlylds,"Ephraim, Sanpete, Utah, USA",NULL,NULL,NULL,NULL,0,0,NULL
109374,Earlylds,"Falkerslev, Maribo, Denmark",NULL,NULL,NULL,NULL,0,0,NULL
109373,Earlylds,"Sandy City Cemetery, Sandy City, Salt Lake, Utah, USA",NULL,NULL,NULL,NULL,0,0,NULL
109372,Earlylds,"Portnahaven, Argyllshire, Scotland",NULL,NULL,NULL,NULL,0,0,NULL
109371,Earlylds,"Old Monkland, Lanarkshire, Scotland",NULL,NULL,NULL,NULL,0,0,NULL
109370,Earlylds,"Newton, West Lothian, Scotland",NULL,NULL,NULL,NULL,0,0,NULL
109369,Earlylds,"Spencertown, Columbia, New York, USA",NULL,NULL,NULL,NULL,0,0,NULL
109368,Earlylds,"Newport, Campbell, Kentucky, USA",NULL,NULL,NULL,NULL,0,0,NULL
109367,Earlylds,"Driffield, Yorkshire East Riding, England",NULL,NULL,NULL,NULL,0,0,NULL
109366,Earlylds,"Erieville, Madison, New York, USA",NULL,NULL,NULL,NULL,0,0,NULL
109365,Earlylds,"Riverside, Box Elder, Utah, USA",NULL,NULL,NULL,NULL,0,0,NULL
109364,Earlylds,", Wayne, New York, USA",NULL,NULL,NULL,NULL,0,0,NULL
109363,Earlylds,"Henrieville, Garfield, Utah, USA",NULL,NULL,NULL,NULL,0,0,NULL
109362,Earlylds,"Miller's Mill (Dexter), Stoddard, Missouri, USA",NULL,NULL,NULL,NULL,0,0,NULL
109361,Earlylds,"Sharon, Norfolk, Massachusetts, USA",NULL,NULL,NULL,NULL,0,0,NULL
109360,Earlylds,"Niskayuna, Schenectady, New York, USA",NULL,NULL,NULL,NULL,0,0,NULL
109359,Earlylds,"Falmouth, Cumberland, Maine, USA",NULL,NULL,NULL,NULL,0,0,NULL
109358,Earlylds,"Knox, Fremont, Iowa, USA",NULL,NULL,NULL,NULL,0,0,NULL
109357,Earlylds,"Trenton, Jones, North Carolina, USA",NULL,NULL,NULL,NULL,0,0,NULL
109356,Earlylds,", Custer, Kentucky, USA",NULL,NULL,NULL,NULL,0,0,NULL
109355,Earlylds,"Carthage, Moore, North Carolina, USA",NULL,NULL,NULL,NULL,0,0,NULL
109354,Earlylds,"Old Mission Road, Redlands, San Bernardino, California, USA",NULL,NULL,NULL,NULL,0,0,NULL
109353,Earlylds,"Orleans, Ontario, New York, USA",NULL,NULL,NULL,NULL,0,0,NULL
109352,Earlylds,"Poole, Dorset, England",NULL,NULL,NULL,NULL,0,0,NULL
109351,Earlylds,"Smithtown, Suffolk, New York, USA",NULL,NULL,NULL,NULL,0,0,NULL
109350,Earlylds,"Ganotown, Berkeley, West Virginia, USA",NULL,NULL,NULL,NULL,0,0,NULL
109349,Earlylds,"Martinsburg, Berkeley, West Virginia, USA",NULL,NULL,NULL,NULL,0,0,NULL
109348,Earlylds,"Chatswood, New South Wales, Australia",NULL,NULL,NULL,NULL,0,0,NULL
109347,Earlylds,"Exeter, Washington, Rhode Island, USA",NULL,NULL,NULL,NULL,0,0,NULL
109346,Earlylds,"Enterprise, Washington, Utah, USA",NULL,NULL,NULL,NULL,0,0,NULL
109345,Earlylds,"Youngstown, Niagara, New York, USA",NULL,NULL,NULL,NULL,0,0,NULL
109344,Earlylds,"Virgil, Cortland, New York, USA",NULL,NULL,NULL,NULL,0,0,NULL
109343,Earlylds,"Lynchburg, Lynchburg city, Virginia, USA",NULL,NULL,NULL,NULL,0,0,NULL
109342,Earlylds,", Martin, North Carolina, USA",NULL,NULL,NULL,NULL,0,0,NULL
109341,Earlylds,"Monmouth, Warren, Illinois, USA",NULL,NULL,NULL,NULL,0,0,NULL
109340,Earlylds,"Queenstown, Queens, New Brunswick, Canada",NULL,NULL,NULL,NULL,0,0,NULL
109339,Earlylds,"Kingston, Luzerne, Pennsylvania, USA",NULL,NULL,NULL,NULL,0,0,NULL
109338,Earlylds,"Barrhead, Renfrew, Scotland",NULL,NULL,NULL,NULL,0,0,NULL
109337,Earlylds,", Armagh, Northern Ireland",NULL,NULL,NULL,NULL,0,0,NULL
109336,Earlylds,"Dansville, Livingston, New York, USA",NULL,NULL,NULL,NULL,0,0,NULL
109335,Earlylds,"Miles City, Custer, Montana, USA",NULL,NULL,NULL,NULL,0,0,NULL
109334,Earlylds,"Monmouth, Monmouthshire, Wales",NULL,NULL,NULL,NULL,0,0,NULL
109333,Earlylds,"Coton in the Elms, Derbyshire, England",NULL,NULL,NULL,NULL,0,0,NULL
109332,Earlylds,"Darlington, Darlington, South Carolina, USA",NULL,NULL,NULL,NULL,0,0,NULL
109331,Earlylds,"Burlington, Hartford, Connecticut, USA",NULL,NULL,NULL,NULL,0,0,NULL
109330,Earlylds,"(near), Plain City, Weber, Utah, USA",NULL,NULL,NULL,NULL,0,0,NULL
109329,Earlylds,"Milnthorpe, Westmorland, England",NULL,NULL,NULL,NULL,0,0,NULL
109328,Earlylds,"Heversham, Westmorland, England",NULL,NULL,NULL,NULL,0,0,NULL
109327,Earlylds,"Woodborough, Nottinghamshire, England",NULL,NULL,NULL,NULL,0,0,NULL
109326,Earlylds,"Huggate, Yorkshire East Riding, England",NULL,NULL,NULL,NULL,0,0,NULL
109325,Earlylds,"Pentonville, Middlesex, England",NULL,NULL,NULL,NULL,0,0,NULL
109324,Earlylds,"Elba, Genesee, New York, USA",NULL,NULL,NULL,NULL,0,0,NULL
109323,Earlylds,"Willow Creek, Gallatin, Montana, USA",NULL,NULL,NULL,NULL,0,0,NULL
109322,Earlylds,"Juab, Juab, Utah, USA",NULL,NULL,NULL,NULL,0,0,NULL
109321,Earlylds,"West Tarboro, Edgecombe, North Carolina, USA",NULL,NULL,NULL,NULL,0,0,NULL
109320,Earlylds,"Rosendale, Lancashire, England",NULL,NULL,NULL,NULL,0,0,NULL
109319,Earlylds,"New Rochelle, Westchester, New York, USA",NULL,NULL,NULL,NULL,0,0,NULL
109318,Earlylds,", Lincoln, Tennessee, USA",NULL,NULL,NULL,NULL,0,0,NULL
109317,Earlylds,"Sharon, Hillsborough, New Hampshire, USA",NULL,NULL,NULL,NULL,0,0,NULL
109316,Earlylds,"Kalamazoo, Kalamazoo, Michigan, USA",NULL,NULL,NULL,NULL,0,0,NULL
109315,Earlylds,"Cottrellville, Saint Clair, Michigan, USA",NULL,NULL,NULL,NULL,0,0,NULL
109314,Earlylds,"Wiernsheim, Badden Wurttemberg, Germany",NULL,NULL,NULL,NULL,0,0,NULL
109313,Earlylds,"Wurmersheim, Badden Wurttemberg, Germany",NULL,NULL,NULL,NULL,0,0,NULL
109312,Earlylds,"Phillipsburg, Beaver, Pennsylvania, USA",NULL,NULL,NULL,NULL,0,0,NULL
109311,Earlylds,"Ludwigsburg, Badden Wurttemberg, Germany",NULL,NULL,NULL,NULL,0,0,NULL
109310,Earlylds,", Vermillion, Indiana, USA",NULL,NULL,NULL,NULL,0,0,NULL
109309,Earlylds,"McLouth, Jefferson, Kansas, USA",NULL,NULL,NULL,NULL,0,0,NULL
109308,Earlylds,"Minersville Cemetery, Minersville, Beaver, Utah, USA",NULL,NULL,NULL,NULL,0,0,NULL
109307,Earlylds,", Scotts Bluff, Nebraska, USA",NULL,NULL,NULL,NULL,0,0,NULL
