LINK_ID	PARCEL_ID	DEED_ID
831	831	20690
832	832	20690
833	833	20691
834	834	20693
835	835	20694
836	836	20695
837	837	20695
838	838	20700
839	839	20701
840	840	20701
841	841	20702
842	842	20705
843	843	20706
844	844	20708
845	845	20708
846	846	20709
847	847	20709
848	848	20710
849	849	20711
850	850	20716
851	851	20717
852	852	20720
853	853	20721
854	854	20722
855	855	20724
856	856	20725
857	857	20727
858	858	20727
859	859	20728
860	860	20730
861	861	20734
862	862	20736
863	863	20737
864	864	20738
865	865	20742
866	866	20742
867	867	20742
868	868	20743
869	869	20743
870	870	20743
871	871	20744
872	872	20745
873	873	20746
874	874	20747
875	875	20748
876	876	20750
877	877	20754
878	878	20756
879	879	20757
880	880	20758
881	881	20759
882	882	20761
883	883	20762
884	884	20763
885	885	20763
886	886	20765
887	887	20766
888	888	20767
889	889	20768
890	890	20771
891	891	20773
892	892	20775
893	893	20777
894	894	20779
895	895	20780
896	896	20781
897	897	20782
898	898	20782
899	899	20782
900	900	20784
901	901	20788
902	902	20789
903	903	20792
904	904	20793
905	905	20796
906	906	20796
907	907	20796
908	908	20796
909	909	20796
910	910	20796
911	911	20796
912	912	20796
913	913	20796
914	914	20796
915	915	20796
916	916	20796
917	917	20796
918	918	20796
919	919	20796
920	920	20796
921	921	20796
922	922	20796
923	923	20796
924	924	20796
925	925	20797
926	926	20797
927	927	20797
928	928	20798
929	929	20800
930	930	20802
931	931	20802
932	932	20806
933	933	20807
934	934	20808
935	935	20813
936	936	20814
937	937	20814
938	938	20819
939	939	20822
940	940	20823
941	941	20824
942	942	20825
943	943	20827
944	944	20827
945	945	20828
946	946	20833
947	947	20833
948	948	20833
949	949	20833
950	950	20833
951	951	20833
952	952	20833
953	953	20833
954	954	20833
955	955	20833
956	956	20833
957	957	20833
958	958	20833
959	959	20833
960	960	20833
961	961	20834
962	962	20834
963	963	20834
964	964	20834
965	965	20834
966	966	20834
967	967	20834
968	968	20834
969	969	20834
970	970	20834
971	971	20834
972	972	20834
973	973	20834
974	974	20834
975	975	20834
976	976	20834
977	977	20834
978	978	20834
979	979	20834
980	980	20834
981	981	20834
982	982	20834
983	983	20834
984	984	20836
985	985	20836
986	986	20836
987	987	20836
988	988	20836
989	989	20838
990	990	20838
991	991	20838
992	992	20838
993	993	20838
994	994	20838
995	995	20838
996	996	20838
997	997	20842
998	998	20843
999	999	20845
1000	1000	20846
1001	1001	20847
1002	1002	20847
1003	1003	20849
1004	1004	20849
1005	1005	20851
1006	1006	20852
1007	1007	20853
1008	1008	20860
1009	1009	20862
1010	1010	20864
1011	1011	20866
1012	1012	20866
1013	1013	20867
